id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P3-36,34.5,33,36,-70.9981,125.3884,71,0.0776,0.0784,0.0368,0.0748,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-39,37.5,36,39,-70.9981,125.3884,46,0.0696,0.072,0.0321,0.0438,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-42,40.5,39,42,-70.9981,125.3884,47,0.066,0.0684,0.0304,0.0267,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-45,43.5,42,45,-70.9981,125.3884,37,0.0669,0.0694,0.0308,0.0324,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-48,46.5,45,48,-70.9981,125.3884,49,NA,NA,NA,0.0187,1,NA,NA,NA,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-51,49.5,48,51,-70.9981,125.3884,46,0.0668,0.0726,0.0291,0.0189,1,0.0009,0.0016,0.0003,0.0016,p3,CHIC-11,139.9,0
CHICH_P3-54,52.5,51,54,-70.9981,125.3884,57,0.0679,0.0718,0.0305,0.0218,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-57,55.5,54,57,-70.9981,125.3884,57,0.0685,0.0734,0.0303,0.0202,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-60,58.5,57,60,-70.9981,125.3884,68,0.0664,0.0702,0.0299,0.022,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-63,61.5,60,63,-70.9981,125.3884,104,0.0638,0.0648,0.0301,0.0373,2,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-66,64.5,63,66,-70.9981,125.3884,99,0.0629,0.0637,0.0298,0.0407,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-69,67.5,66,69,-70.9981,125.3884,81,0.0618,0.0638,0.0287,0.0298,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-72,70.5,69,72,-70.9981,125.3884,53,0.0601,0.0646,0.0266,0.0148,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-75,73.5,72,75,-70.9981,125.3884,51,0.063,0.0674,0.0279,0.0147,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-78,76.5,75,78,-70.9981,125.3884,49,0.0642,0.068,0.0289,0.0311,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-81,79.5,78,81,-70.9981,125.3884,45,0.0616,0.0658,0.0274,0.0319,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-84,82.5,81,84,-70.9981,125.3884,53,0.0629,0.0674,0.0279,0.0288,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-87,85.5,84,87,-70.9981,125.3884,54,0.0646,0.0692,0.0286,0.026,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-90,88.5,87,90,-70.9981,125.3884,62,0.0674,0.0722,0.0298,0.035,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-93,91.5,90,93,-70.9981,125.3884,60,0.0614,0.0652,0.0275,0.0253,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-96,94.5,93,96,-70.9981,125.3884,53,NA,NA,NA,0.0267,1,NA,NA,NA,0.0016,p3,CHIC-11,139.9,0
CHICH_P3-99,97.5,96,99,-70.9981,125.3884,52,0.0572,0.0609,0.0255,0.0218,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
CHICH_P3-102,100.5,99,102,-70.9981,125.3884,57,0.057,0.0606,0.0256,0.021,1,0.0012,0.0023,0.0002,0.0008,p3,CHIC-11,139.9,0
ABN_SKL,0,0,0,-71.1669,111.3665,243,0.0684,0.0708,0.0316,0.0022,4,0.0005,0.0008,0.0003,0.0011,p4,ABN,122,1
CHICH_P4-03,1.5,0,3,-71.1669,111.3665,211,NA,NA,NA,0.033,3,NA,NA,NA,0.0007,p4,ABN,122,0
CHICH_P4-06,4.5,3,6,-71.1669,111.3665,106,0.075,0.0801,0.0334,0.0454,2,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-09,7.5,6,9,-71.1669,111.3665,97,0.0833,0.0887,0.0372,0.0468,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-12,10.5,9,12,-71.1669,111.3665,140,0.0777,0.0839,0.0341,0.0406,2,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-15,13.5,12,15,-71.1669,111.3665,100,0.0848,0.0901,0.0379,0.0399,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-18,16.5,15,18,-71.1669,111.3665,93,0.0798,0.0852,0.0355,0.0293,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
