distance.km,plot.dist.mean,smb.mar.2011_2013,smb.mar.error.2011_2013,smb.mar.1979_2021,smb.mar.error.1979_2021,smb.mar.2013,smb.mar.error.2013
220,219.5,171.9,2.6,169.9,2.1,150.9,2.3
221,220.5,172.1,2.6,170.1,2.1,151.1,2.3
222,221.5,172.3,2.6,170.4,2.1,151.4,2.3
223,222.5,172.5,2.6,170.6,2.1,151.6,2.3
224,223.5,172.7,2.6,170.8,2.1,151.8,2.3
225,224.5,172.9,2.6,171.1,2.1,152.1,2.3
226,225.5,173.1,2.6,171.3,2.1,152.3,2.3
227,226.5,173.3,2.6,171.5,2.1,152.5,2.3
228,227.5,173.5,2.6,171.8,2.1,152.7,2.3
229,228.5,173.7,2.6,172.0,2.1,153.0,2.3
230,229.5,173.9,2.6,172.2,2.1,153.2,2.3
231,230.5,174.1,2.6,172.5,2.1,153.4,2.3
232,231.5,174.3,2.6,172.7,2.1,153.6,2.3
233,232.5,174.1,2.6,172.6,2.1,153.5,2.3
234,233.5,173.9,2.5,172.4,2.1,153.3,2.3
235,234.5,173.6,2.5,172.2,2.1,153.1,2.3
236,235.5,173.3,2.5,171.9,2.1,152.9,2.3
237,236.5,173,2.5,171.7,2.1,152.6,2.3
238,237.5,172.7,2.5,171.4,2.1,152.4,2.3
239,238.5,172.4,2.5,171.2,2.1,152.1,2.3
240,239.5,172.1,2.5,170.9,2.1,151.9,2.3
241,240.5,171.8,2.5,170.7,2.1,151.6,2.3
242,241.5,171.5,2.5,170.4,2.1,151.4,2.3
243,242.5,171.2,2.5,170.1,2.1,151.1,2.3
244,243.5,170.8,2.5,169.9,2.1,150.8,2.3
245,244.5,170.5,2.5,169.6,2.1,150.6,2.3
246,245.5,170.2,2.5,169.3,2.1,150.3,2.3
247,246.5,169.8,2.5,169.0,2.1,150.0,2.3
248,247.5,169.5,2.5,168.7,2.1,149.7,2.3
249,248.5,169.1,2.5,168.4,2.1,149.4,2.3
250,249.5,168.8,2.5,168.1,2.1,149.1,2.3
251,250.5,168.4,2.5,167.8,2.1,148.8,2.3
252,251.5,168.1,2.5,167.5,2.1,148.5,2.3
253,252.5,167.7,2.5,167.2,2.1,148.2,2.3
254,253.5,167.3,2.5,166.8,2.1,147.9,2.3
255,254.5,167,2.5,166.5,2.1,147.6,2.3
256,255.5,166.6,2.5,166.2,2.1,147.2,2.3
257,256.5,166.2,2.5,165.8,2.1,146.9,2.3
258,257.5,165.8,2.5,165.5,2.1,146.6,2.3
259,258.5,165.4,2.5,165.1,2.1,146.2,2.3
260,259.5,165,2.5,164.8,2.1,145.9,2.3
261,260.5,164.6,2.5,164.4,2.1,145.5,2.3
262,261.5,164.2,2.5,164.0,2.1,145.2,2.3
263,262.5,163.7,2.5,163.7,2.1,144.8,2.3
264,263.5,163.3,2.5,163.3,2.1,144.4,2.3
265,264.5,162.9,2.5,162.9,2.1,144.1,2.3
266,265.5,162.5,2.5,162.5,2.1,143.7,2.3
267,266.5,162,2.5,162.1,2.1,143.3,2.3
268,267.5,161.6,2.5,161.7,2.1,142.9,2.3
269,268.5,161.1,2.5,161.3,2.1,142.5,2.3
270,269.5,160.7,2.5,160.9,2.1,142.2,2.3
271,270.5,160.2,2.5,160.5,2.1,141.7,2.3
272,271.5,159.8,2.5,160.1,2.1,141.3,2.3
273,272.5,159.3,2.5,159.7,2.1,140.9,2.3
274,273.5,158.8,2.5,159.3,2.1,140.4,2.3
275,274.5,158.4,2.5,158.9,2.1,140.0,2.3
276,275.5,157.9,2.4,158.4,2.1,139.5,2.3
277,276.5,157.4,2.4,158.0,2.1,139.1,2.3
278,277.5,156.9,2.4,157.6,2.1,138.6,2.2
279,278.5,156.4,2.4,157.2,2.1,138.2,2.2
280,279.5,156,2.4,156.7,2.1,137.7,2.2
281,280.5,155.5,2.4,156.3,2.1,137.3,2.2
282,281.5,155,2.4,155.9,2.1,136.8,2.2
283,282.5,154.5,2.4,155.4,2.1,136.3,2.2
284,283.5,154,2.4,155.0,2.1,135.9,2.2
285,284.5,153.5,2.3,154.5,2.1,135.4,2.2
286,285.5,153,2.3,154.1,2.1,134.9,2.2
287,286.5,152.5,2.3,153.7,2.1,134.5,2.2
288,287.5,152,2.3,153.2,2.1,134.0,2.2
289,288.5,151.5,2.3,152.8,2.1,133.5,2.2
290,289.5,151,2.3,152.3,2.1,133.0,2.2
291,290.5,150.5,2.3,151.9,2.1,132.6,2.1
292,291.5,150,2.3,151.4,2.1,132.1,2.1
293,292.5,149.5,2.3,151.0,2.1,131.6,2.1
294,293.5,149,2.2,150.5,2.0,131.2,2.1
295,294.5,148.5,2.2,150.1,2.0,130.7,2.1
296,295.5,148,2.2,149.6,2.0,130.3,2.1
297,296.5,147.5,2.2,149.2,2.0,129.8,2.1
298,297.5,147,2.2,148.7,2.0,129.3,2.1
299,298.5,146.5,2.2,148.3,2.0,128.9,2.1
300,299.5,146,2.2,147.9,2.0,128.4,2.1
301,300.5,145.5,2.2,147.4,2.0,127.9,2.1
302,301.5,145,2.2,147.0,2.0,127.5,2.1
303,302.5,144.4,2.2,146.5,2.0,127.0,2.1
304,303.5,143.9,2.2,146.1,2.0,126.5,2.0
305,304.5,143.4,2.2,145.6,2.0,126.1,2.0
306,305.5,142.9,2.2,145.2,2.0,125.6,2.0
307,306.5,142.4,2.2,144.7,2.0,125.1,2.0
308,307.5,141.9,2.2,144.3,2.0,124.7,2.0
309,308.5,141.4,2.2,143.8,2.0,124.2,2.0
310,309.5,141.1,2.2,143.6,2.0,124.0,2.0
311,310.5,140.8,2.2,143.3,2.0,123.7,2.0
312,311.5,140.5,2.2,143.0,2.0,123.5,2.0
313,312.5,140.2,2.2,142.8,2.0,123.2,2.0
314,313.5,139.9,2.2,142.5,2.0,123.0,2.0
315,314.5,139.6,2.2,142.3,2.0,122.8,2.0
316,315.5,139.3,2.2,142.1,2.0,122.6,2.0
317,316.5,139,2.2,141.8,2.0,122.4,2.0
318,317.5,138.8,2.2,141.6,2.0,122.2,2.0
319,318.5,138.5,2.2,141.4,2.0,121.9,2.0
320,319.5,138.2,2.2,141.1,2.0,121.7,2.0
321,320.5,137.9,2.2,140.9,2.0,121.5,2.0
322,321.5,137.6,2.2,140.7,2.0,121.3,2.0
323,322.5,137.4,2.2,140.4,2.0,121.1,2.0
324,323.5,137.1,2.2,140.2,2.0,120.8,2.0
325,324.5,136.8,2.2,139.9,2.0,120.6,2.0
326,325.5,136.5,2.2,139.7,2.0,120.4,2.0
327,326.5,136.2,2.2,139.5,2.0,120.1,2.0
328,327.5,135.9,2.2,139.2,2.0,119.9,2.0
329,328.5,135.6,2.2,139.0,2.0,119.7,2.0
330,329.5,135.3,2.2,138.7,2.0,119.5,2.0
331,330.5,135,2.2,138.4,2.0,119.2,2.0
332,331.5,134.6,2.1,138.1,2.0,118.9,2.0
333,332.5,134.3,2.1,137.8,2.0,118.6,2.0
334,333.5,133.9,2.1,137.5,2.0,118.3,2.0
335,334.5,133.5,2.1,137.2,2.0,118.0,2.0
336,335.5,133.2,2.1,136.9,2.0,117.7,2.0
337,336.5,132.8,2.1,136.6,2.0,117.3,2.0
338,337.5,132.4,2.1,136.2,2.0,117.0,2.0
339,338.5,132.1,2.1,135.9,2.0,116.7,2.0
340,339.5,131.7,2.1,135.6,2.0,116.4,2.0
341,340.5,131.4,2.1,135.3,2.0,116.1,2.0
342,341.5,131,2.1,135.0,2.0,115.8,2.0
343,342.5,130.6,2.1,134.6,2.0,115.5,2.0
344,343.5,130.2,2.1,134.3,2.0,115.2,2.0
345,344.5,129.9,2.1,134.0,2.0,114.8,1.9
346,345.5,129.5,2.1,133.7,2.0,114.5,1.9
347,346.5,129.1,2.1,133.4,2.0,114.2,1.9
348,347.5,128.8,2.1,133.1,2.0,114.0,1.9
349,348.5,128.7,2.1,133.0,2.0,113.9,1.9
350,349.5,128.6,2.1,133.0,2.0,113.8,1.9
351,350.5,128.4,2.1,132.9,2.0,113.7,1.9
352,351.5,128.3,2.1,132.8,2.0,113.6,1.9
353,352.5,128.1,2.1,132.7,2.0,113.5,1.9
354,353.5,128,2.1,132.6,2.0,113.4,1.9
355,354.5,127.9,2.1,132.5,2.0,113.3,1.9
356,355.5,127.7,2.1,132.4,2.0,113.3,1.9
357,356.5,127.6,2.1,132.3,2.0,113.2,1.9
358,357.5,127.4,2.1,132.3,2.0,113.1,1.9
359,358.5,127.3,2.1,132.2,2.0,113.0,1.9
360,359.5,127.1,2.1,132.1,2.0,112.9,1.9
361,360.5,127,2.1,132.0,2.0,112.8,2.0
362,361.5,126.8,2.1,131.9,2.0,112.7,2.0
363,362.5,126.6,2.1,131.8,2.0,112.6,2.0
364,363.5,126.5,2.1,131.7,2.0,112.5,2.0
365,364.5,126.4,2.1,131.6,2.0,112.4,2.0
366,365.5,126.2,2.1,131.5,2.0,112.3,2.0
367,366.5,126.1,2.1,131.5,2.0,112.2,2.0
368,367.5,126,2.1,131.4,2.0,112.2,2.0
369,368.5,125.8,2.1,131.3,2.0,112.1,2.0
370,369.5,125.7,2.1,131.2,2.0,112.0,2.0
371,370.5,125.5,2.1,131.2,2.0,111.9,2.0
372,371.5,125.4,2.1,131.1,2.0,111.9,2.0
373,372.5,125.3,2.1,131.0,2.0,111.8,2.0
374,373.5,125.1,2.1,130.9,2.0,111.7,2.0
375,374.5,125,2.1,130.8,2.0,111.6,2.0
376,375.5,124.9,2.1,130.8,2.0,111.6,2.0
377,376.5,124.8,2.1,130.7,2.0,111.5,2.0
378,377.5,124.7,2.1,130.7,2.0,111.5,2.0
379,378.5,124.6,2.1,130.7,2.0,111.5,2.0
380,379.5,124.5,2.1,130.6,2.0,111.4,2.0
381,380.5,124.4,2.1,130.6,2.0,111.4,2.0
382,381.5,124.3,2.1,130.5,2.0,111.4,2.0
383,382.5,124.2,2.1,130.5,2.0,111.3,2.0
384,383.5,124.1,2.1,130.5,2.0,111.3,2.0
385,384.5,124,2.1,130.4,2.0,111.3,2.0
386,385.5,123.9,2.1,130.4,2.0,111.2,2.0
387,386.5,124,2.1,130.5,2.0,111.3,2.0
388,387.5,124,2.2,130.6,2.0,111.4,2.0
389,388.5,124.1,2.2,130.8,2.0,111.5,2.0
390,389.5,124.1,2.2,130.9,2.0,111.6,2.0
391,390.5,124.2,2.2,131.0,2.0,111.7,2.0
392,391.5,124.2,2.2,131.1,2.0,111.7,2.0
393,392.5,124.3,2.2,131.3,2.0,111.8,2.0
394,393.5,124.4,2.2,131.4,2.0,111.9,2.0
395,394.5,124.4,2.2,131.5,2.0,112.0,2.0
396,395.5,124.5,2.2,131.6,2.0,112.1,2.0
397,396.5,124.5,2.2,131.7,2.0,112.2,2.0
398,397.5,124.6,2.2,131.9,2.0,112.3,2.0
399,398.5,124.7,2.2,132.0,2.0,112.3,2.0
400,399.5,124.7,2.2,132.1,2.0,112.4,2.0
401,400.5,124.8,2.2,132.2,2.0,112.5,2.0
402,401.5,124.8,2.2,132.4,2.0,112.6,2.0
403,402.5,124.9,2.2,132.5,2.0,112.7,2.0
404,403.5,125,2.2,132.6,2.0,112.8,2.0
405,404.5,125,2.2,132.7,2.0,112.8,2.0
406,405.5,125.1,2.2,132.8,2.0,112.9,2.0
407,406.5,125.1,2.2,133.0,2.0,113.0,2.0
408,407.5,125.2,2.2,133.1,2.0,113.1,2.0
409,408.5,125.3,2.2,133.2,2.0,113.2,2.0
410,409.5,125.3,2.2,133.3,2.0,113.3,2.0
411,410.5,125.4,2.2,133.5,2.0,113.3,2.0
412,411.5,125.4,2.2,133.6,2.0,113.4,2.0
413,412.5,125.5,2.2,133.7,2.0,113.5,2.0
414,413.5,125.6,2.2,133.8,2.0,113.6,2.0
415,414.5,125.6,2.2,133.9,2.0,113.7,2.0
416,415.5,125.7,2.2,134.1,2.0,113.7,2.0
417,416.5,125.7,2.2,134.2,2.0,113.8,2.0
418,417.5,125.8,2.2,134.3,2.0,113.9,2.0
419,418.5,125.9,2.2,134.4,2.0,114.0,2.0
420,419.5,125.9,2.2,134.6,2.0,114.1,2.0
421,420.5,126,2.2,134.7,2.0,114.2,2.0
422,421.5,126.1,2.2,134.8,2.0,114.3,2.0
423,422.5,126.2,2.2,135.0,2.0,114.4,2.0
424,423.5,126.2,2.2,135.1,2.0,114.5,2.0
425,424.5,126.3,2.2,135.2,2.0,114.6,2.0
426,425.5,126.4,2.2,135.4,2.0,114.7,2.0
427,426.5,126.5,2.2,135.5,2.0,114.8,2.0
428,427.5,126.6,2.2,135.6,2.0,114.9,2.0
429,428.5,126.7,2.2,135.8,2.0,115.0,2.0
430,429.5,126.7,2.2,135.9,2.0,115.2,2.0
431,430.5,126.8,2.2,136.0,2.0,115.3,2.0
432,431.5,126.9,2.2,136.1,2.0,115.4,2.0
433,432.5,127,2.2,136.3,2.0,115.5,2.0
434,433.5,127.1,2.2,136.4,2.0,115.6,2.0
435,434.5,127.1,2.2,136.5,2.0,115.7,2.0
436,435.5,127.2,2.2,136.6,2.0,115.8,2.0
437,436.5,127.3,2.2,136.8,2.0,116.0,2.0
438,437.5,127.4,2.2,136.9,2.0,116.1,2.0
439,438.5,127.5,2.2,137.0,2.0,116.2,2.0
440,439.5,127.5,2.2,137.1,2.0,116.3,2.0
441,440.5,127.6,2.2,137.3,2.0,116.4,2.0
442,441.5,127.7,2.2,137.4,2.0,116.5,2.0
443,442.5,127.7,2.2,137.5,2.0,116.6,2.0
444,443.5,127.8,2.2,137.6,2.0,116.7,2.0
445,444.5,127.9,2.2,137.7,2.0,116.8,2.0
446,445.5,128,2.2,137.8,2.0,116.9,2.0
447,446.5,128,2.2,137.9,2.0,117.0,2.0
448,447.5,128.1,2.2,138.1,2.0,117.1,2.0
449,448.5,128.2,2.2,138.2,2.0,117.2,2.0
450,449.5,128.2,2.2,138.3,2.0,117.3,2.1
451,450.5,128.3,2.2,138.4,2.0,117.4,2.1
452,451.5,128.3,2.2,138.5,2.0,117.5,2.1
453,452.5,128.5,2.2,138.7,2.0,117.7,2.1
454,453.5,128.6,2.2,138.8,2.0,117.9,2.1
455,454.5,128.7,2.2,139.0,2.0,118.0,2.1
456,455.5,128.8,2.2,139.2,2.0,118.2,2.1
457,456.5,128.9,2.3,139.3,2.0,118.3,2.1
458,457.5,129,2.3,139.5,2.0,118.5,2.1
459,458.5,129.1,2.3,139.7,2.0,118.6,2.1
460,459.5,129.2,2.3,139.8,2.0,118.8,2.1
461,460.5,129.3,2.3,140.0,2.0,118.9,2.1
