distance.km,plot.dist.mean,elevation.rema
103.1,103.2,2741
103.3,103.4,2740
103.5,103.65,2740
103.8,103.9,2740
104,104.1,2739
104.2,104.35,2739
104.5,104.6,2739
104.7,104.85,2739
105,105.1,2739
105.2,105.3,2739
105.4,105.55,2739
105.7,105.8,2739
105.9,106,2740
106.1,106.25,2740
106.4,106.5,2741
106.6,106.7,2741
106.8,106.95,2742
107.1,107.2,2742
107.3,107.45,2742
107.6,107.7,2743
107.8,107.9,2743
108,108.15,2743
108.3,108.4,2743
108.5,108.6,2743
108.7,108.85,2743
109,109.1,2742
109.2,109.3,2742
109.4,109.55,2742
109.7,109.8,2742
109.9,110.05,2741
110.2,110.3,2741
110.4,110.5,2740
110.6,110.75,2740
110.9,111,2740
111.1,111.2,2739
111.3,111.45,2738
111.6,111.7,2737
111.8,111.9,2737
112,112.15,2736
112.3,112.4,2735
112.5,112.65,2734
112.8,112.9,2734
113,113.1,2733
113.2,113.35,2732
113.5,113.6,2731
113.7,113.8,2731
113.9,114.05,2731
114.2,114.3,2730
114.4,114.5,2730
114.6,114.75,2729
114.9,115,2730
115.1,115.25,2729
115.4,115.5,2730
115.6,115.7,2729
115.8,115.95,2730
116.1,116.2,2730
116.3,116.4,2730
116.5,116.65,2730
116.8,116.9,2731
117,117.1,2731
117.2,117.35,2731
117.5,117.6,2731
117.7,117.85,2731
118,118.1,2731
118.2,118.3,2731
118.4,118.55,2731
118.7,118.8,2731
118.9,119,2731
119.1,119.25,2731
119.4,119.5,2731
119.6,119.7,2731
119.8,119.95,2730
120.1,120.2,2730
120.3,120.45,2730
120.6,120.7,2730
120.8,120.9,2730
121,121.15,2730
121.3,121.4,2730
121.5,121.6,2730
121.7,121.85,2729
122,122.1,2730
122.2,122.3,2729
122.4,122.55,2729
122.7,122.8,2729
122.9,123.05,2729
123.2,123.3,2729
123.4,123.5,2729
123.6,123.75,2729
123.9,124,2729
124.1,124.2,2728
124.3,124.45,2728
124.6,124.7,2728
124.8,124.9,2728
125,125.15,2727
125.3,125.4,2727
125.5,125.65,2726
125.8,125.9,2726
126,126.1,2725
126.2,126.35,2725
126.5,126.6,2724
126.7,126.8,2723
126.9,127.05,2723
127.2,127.3,2722
127.4,127.5,2721
127.6,127.75,2721
127.9,128,2720
128.1,128.25,2719
128.4,128.5,2719
128.6,128.7,2718
128.8,128.95,2717
129.1,129.2,2716
129.3,129.4,2716
129.5,129.65,2715
129.8,129.9,2714
130,130.1,2713
130.2,130.35,2713
130.5,130.6,2712
130.7,130.85,2712
131,131.1,2711
131.2,131.3,2711
131.4,131.55,2710
131.7,131.8,2710
131.9,132,2710
132.1,132.25,2710
132.4,132.5,2710
132.6,132.7,2710
132.8,132.95,2710
133.1,133.2,2710
133.3,133.45,2709
133.6,133.7,2710
133.8,133.9,2710
134,134.15,2710
134.3,134.4,2710
134.5,134.6,2710
134.7,134.85,2710
135,135.1,2711
135.2,135.3,2711
135.4,135.55,2711
135.7,135.8,2711
135.9,136.05,2712
136.2,136.3,2712
136.4,136.5,2712
136.6,136.75,2713
136.9,137,2713
