id,depth.mean,depth.top,depth.btm,density,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,pseudo,smb.1979_2021,smb.1979_2021.mean.ci,smb.1979_2021.MARavgerr,smb.2011_2013,smb.2011_2013.mean.ci,smb.2011_2013.MARavgerr,smb.2013,smb.2013.MARerr
CHICH_P5-030,28.5,27,30,378,-71.1669,111.3665,94.8,0.075,0.079,0.0339,0.0121,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-033,31.5,30,33,372,-71.1669,111.3665,175,0.0662,0.0662,0.0318,0.018,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-036,34.5,33,36,367,-71.1669,111.3665,171.3,0.0659,0.0661,0.0315,0.0158,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-039,37.5,36,39,361,-71.1669,111.3665,130,0.0617,0.0608,0.03,0.0232,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-042,40.5,39,42,356,-71.1669,111.3665,76.5,0.0642,0.0668,0.0295,0.0302,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-045,43.5,42,45,350,-71.1669,111.3665,68.3,0.0691,0.0732,0.031,0.044,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-048,46.5,45,48,349,-71.1669,111.3665,63.9,0.071,0.0746,0.0322,0.0479,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-051,49.5,48,51,352,-71.1669,111.3665,56.8,0.0743,0.0771,0.0342,0.045,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-054,52.5,51,54,355,-71.1669,111.3665,54.1,0.075,0.0776,0.0347,0.0444,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-057,55.5,54,57,358,-71.1669,111.3665,55,0.0784,0.081,0.0363,0.0457,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-060,58.5,57,60,361,-71.1669,111.3665,56.2,0.0789,0.0816,0.0365,0.0446,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-063RR,61.5,60,63,364,-71.1669,111.3665,40.1,0.0747,0.0789,0.0336,0.0321,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-066,64.5,63,66,366,-71.1669,111.3665,35.9,0.0703,0.0744,0.0316,0.0169,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-069,67.5,66,69,369,-71.1669,111.3665,37.5,0.0677,0.0741,0.0291,0.0108,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-072,70.5,69,72,371,-71.1669,111.3665,39.5,0.0697,0.0759,0.0303,0.0082,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-075,73.5,72,75,374,-71.1669,111.3665,59.8,0.0636,0.0647,0.0299,0.0262,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-078,76.5,75,78,376,-71.1669,111.3665,60.7,0.0613,0.0612,0.0294,0.0365,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-081,79.5,78,81,379,-71.1669,111.3665,59.3,0.0611,0.0611,0.0293,0.035,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-084,82.5,81,84,381,-71.1669,111.3665,54.6,0.0591,0.06,0.0279,0.032,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-087,85.5,84,87,383,-71.1669,111.3665,44.9,0.0529,0.0554,0.0241,0.0362,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-090,88.5,87,90,386,-71.1669,111.3665,47.1,0.0549,0.0565,0.0256,0.0495,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-093,91.5,90,93,388,-71.1669,111.3665,44.7,0.0559,0.0582,0.0256,0.0431,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-096,94.5,93,96,390,-71.1669,111.3665,35,0.0574,0.0582,0.0272,0.0664,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-099,97.5,96,99,392,-71.1669,111.3665,40.5,0.0608,0.0595,0.0299,0.0856,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-102,100.5,99,102,394,-71.1669,111.3665,37.5,0.0633,0.0608,0.0317,0.0872,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-105,103.5,102,105,396,-71.1669,111.3665,39.1,0.0638,0.0618,0.0317,0.0869,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-108,106.5,105,108,397,-71.1669,111.3665,43.8,0.0647,0.0633,0.0318,0.0862,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-111,109.5,108,111,399,-71.1669,111.3665,46,0.0666,0.0659,0.0324,0.0816,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-114RR,112.5,111,114,404,-71.1669,111.3665,50.6,0.0696,0.0695,0.0334,0.0792,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-117,115.5,114,117,413,-71.1669,111.3665,50.7,0.067,0.0675,0.0319,0.0649,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-120,118.5,117,120,421,-71.1669,111.3665,59.8,0.0622,0.064,0.0289,0.0435,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-123,121.5,120,123,430,-71.1669,111.3665,63.4,0.0571,0.0571,0.0274,0.0505,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-126,124.5,123,126,438,-71.1669,111.3665,63.3,0.0561,0.057,0.0264,0.0495,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-129,127.5,126,129,437,-71.1669,111.3665,54.4,0.0601,0.0625,0.0276,0.0531,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-132,130.5,129,132,434,-71.1669,111.3665,49.4,0.0608,0.0633,0.0279,0.0536,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-135,133.5,132,135,430,-71.1669,111.3665,51.6,0.0634,0.0657,0.0292,0.0568,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
